clone_type,predictor,coef,odds_ratio,OR_CI_lower_95,OR_CI_upper_95,p_value,significant_05
overall,Intercept,-2.6019,0.0741,0.0668,0.0823,0.0,Yes
overall,SRP,0.0787,1.0818,0.9602,1.2189,0.1963,No
overall,OCP,0.2533,1.2883,1.1292,1.4698,0.0002,Yes
overall,DIP,-0.053,0.9483,0.8523,1.0552,0.3304,No
overall,METHOD_LOC,0.26,1.297,1.1759,1.4306,0.0,Yes
T3,Intercept,-2.6019,0.0741,0.0668,0.0823,0.0,Yes
T3,SRP,0.0787,1.0818,0.9602,1.2189,0.1963,No
T3,OCP,0.2533,1.2883,1.1292,1.4698,0.0002,Yes
T3,DIP,-0.053,0.9483,0.8523,1.0552,0.3304,No
T3,METHOD_LOC,0.26,1.297,1.1759,1.4306,0.0,Yes
