excluded_project,principle,n_cloned,n_non_cloned,r_rb,p_value
commonslang,SRP,13199,69627,0.0323356942223537,2.1535806916706156e-35
commonslang,OCP,13199,69627,-0.0089257492338417,0.0015257650088581
commonslang,DIP,13199,69627,0.1657829348772383,0.0
fitnesse,SRP,15491,71292,0.0246186008144635,6.881097690590856e-27
fitnesse,OCP,15491,71292,-0.0092682124625356,0.0001783357812874
fitnesse,DIP,15491,71292,0.1469165447408196,0.0
hibernate-orm,SRP,14179,61832,0.0227416434026507,5.78199157294618e-20
hibernate-orm,OCP,14179,61832,-0.0277616058094476,1.78744591812822e-25
hibernate-orm,DIP,14179,61832,0.1486679160687041,0.0
jackson-databind_,SRP,12989,63499,0.0247578933601319,6.3546220160855394e-21
jackson-databind_,OCP,12989,63499,-0.0187226650153957,3.783448915892813e-11
jackson-databind_,DIP,12989,63499,0.1479327953441873,1.660693751330598e-300
jmeter,SRP,13740,65526,0.0305978001954044,8.508456723643535e-39
jmeter,OCP,13740,65526,-0.0105598548812095,4.411653597306511e-05
jmeter,DIP,13740,65526,0.1363556399781927,2.3143842856122503e-281
junit5,SRP,14057,66609,0.0251944545106853,1.1506986947300604e-24
junit5,OCP,14057,66609,-0.011190775204446,3.974623819615438e-05
junit5,DIP,14057,66609,0.1556903116586043,0.0
selenium-trunk,SRP,15190,71878,0.0221395065199075,6.438855291694958e-21
selenium-trunk,OCP,15190,71878,-0.015756714970603,3.654084071304911e-10
selenium-trunk,DIP,15190,71878,0.1491203137874924,0.0
struts,SRP,12399,65398,-0.0087002278079657,0.0003872204389864
struts,OCP,12399,65398,-0.0077928774562996,0.0061472655365083
struts,DIP,12399,65398,0.063144756252743,1.7952195249939718e-58
