clone_type,principle,n_cloned,n_non_cloned,mean_cloned,mean_non_cloned,r_rb,p_value
T1,SRP,5,76492,2.0,1.9168017570464886,,
T1,OCP,5,76492,1.6,1.8923286095277938,,
T1,DIP,5,76492,2.0,1.7528238247136956,,
T2,SRP,7,76492,2.0,1.9168017570464886,,
T2,OCP,7,76492,1.7142857142857142,1.8923286095277938,,
T2,DIP,7,76492,2.0,1.7528238247136956,,
T3,SRP,15880,76492,1.8948362720403022,1.9168017570464886,0.022108184441935075,5.67293734686985e-22
T3,OCP,15880,76492,1.9110831234256926,1.8923286095277938,-0.014125966449990868,1.661843994003145e-08
T3,DIP,15880,76492,1.585390428211587,1.7528238247136956,0.14049367586686268,0.0
