project,display_name,principle,mean_cloned,mean_non_cloned,diff,mann_whitney_u,p_value,r_rb,bonf_stars
commonslang,Commons Lang,SRP,1.9847753434831044,1.9856438515081207,-0.0008685080250163679,9274335.0,0.6445578573989744,0.0011985399975703581,
commonslang,Commons Lang,OCP,1.9702933531377647,1.9585266821345708,0.01176667100319384,9359220.5,0.04467862855566347,-0.007943221792685806,
commonslang,Commons Lang,DIP,1.8169327887114741,1.8657192575406032,-0.04878646882912907,8761729.0,2.72140729382797e-13,0.05640375106725959,***
fitnesse,FitNesse,SRP,1.8628428927680798,1.8619766774995221,0.0008662152685576796,1043529.0,0.7621743275445023,0.005040448010160015,
fitnesse,FitNesse,OCP,1.8478802992518704,1.7956413687631427,0.05223893048872763,1088638.5,0.05469199020808764,-0.0379694998786726,
fitnesse,FitNesse,DIP,1.598503740648379,1.6268399923532786,-0.028336251704899507,997203.5,0.036173726891068854,0.04920979905426648,
hibernate-orm,Hibernate ORM,SRP,1.9229422066549913,1.934109318630454,-0.011167111975462829,12490674.0,0.24016973005308795,0.007324855836418176,
hibernate-orm,Hibernate ORM,OCP,1.7997664915353182,1.9057926621741201,-0.10602617063880193,11413002.5,1.4682041923641644e-35,0.09297097162036094,***
hibernate-orm,Hibernate ORM,DIP,1.768242848803269,1.8054591246341298,-0.037216275830860734,12170741.5,0.00047125242289132067,0.032750948980800554,*
jackson-databind_,Jackson Databind,SRP,1.9438511884257665,1.9577702702702702,-0.013919081844503634,18674336.0,0.0030438738627365856,0.012166520950537496,
jackson-databind_,Jackson Databind,OCP,1.9128487771271099,1.9216830466830468,-0.008834269555936913,18720202.0,0.05711954105233614,0.009740305081331613,
jackson-databind_,Jackson Databind,DIP,1.6414054426455391,1.7686578624078624,-0.12725241976232327,16900107.0,1.2459767572619515e-36,0.10601953964423827,***
jmeter,JMeter,SRP,1.8777881040892193,1.8349549877239246,0.04283311636529463,12165592.0,0.00025789962810214556,-0.028126968051104262,**
jmeter,JMeter,OCP,1.8782527881040891,1.8294989542602529,0.04875383384383625,12215331.0,7.029745158575277e-05,-0.032330463225354045,**
jmeter,JMeter,DIP,1.4135687732342008,1.6418114031099391,-0.2282426298757383,9810794.0,4.277220318336011e-57,0.17087948622689597,***
junit5,JUnit 5,SRP,1.929700272479564,1.9264676215452894,0.0032326509342746057,9123329.0,0.6396890025630638,-0.0029940320544146193,
junit5,JUnit 5,OCP,1.9727520435967303,1.9272745612265483,0.04547748237018201,9450099.0,9.357954734826394e-11,-0.03891823909051073,***
junit5,JUnit 5,DIP,1.8245231607629429,1.8250958240871495,-0.0005726633242066903,8975405.5,0.1438581817609022,0.013268276111891963,
selenium-trunk,Selenium,SRP,1.9088319088319088,1.9166846071044132,-0.007852698272504455,1604215.0,0.10435661232658842,0.016057458468653252,
selenium-trunk,Selenium,OCP,1.772079772079772,1.8264800861141013,-0.05440031403432921,1553623.0,0.0012526300818396544,0.047087975613271604,*
selenium-trunk,Selenium,DIP,1.7678062678062678,1.7168998923573735,0.050906375448894314,1693165.5,0.020343823593616157,-0.038500179404377555,
struts,Struts,SRP,1.764385914686516,1.9013033707865168,-0.13691745610000083,16993086.0,8.263901708295715e-91,0.12541173518787174,***
struts,Struts,OCP,1.9407386200973376,1.9031910112359551,0.03754760886138242,20069437.5,2.496455613024476e-10,-0.032919772128526814,***
struts,Struts,DIP,1.2141425708559976,1.7149662921348314,-0.5008237212788338,11638141.5,0.0,0.40101627331709966,***
